experiment_id,name,features,window_size,overlap,train_ratio,pca,select_k,accuracy,f1,status,timestamp
1,baseline_basic,basic,40,0.5,0.7,,,0.2861,0.2786,success,2025-12-27T12:21:07.698386
2,baseline_extended,extended,40,0.5,0.7,,,0.2934,0.2858,success,2025-12-27T12:21:08.980560
3,baseline_full,full,40,0.5,0.7,,,0.306,0.3005,success,2025-12-27T12:21:10.600110
4,window_20,full,20,0.5,0.7,,,0.2647,0.2559,success,2025-12-27T12:23:50.239757
5,window_30,full,30,0.5,0.7,,,0.2868,0.2792,success,2025-12-27T12:25:35.208810
6,window_40,full,40,0.5,0.7,,,0.306,0.3005,success,2025-12-27T12:25:37.034155
7,window_50,full,50,0.5,0.7,,,0.3274,0.3217,success,2025-12-27T12:26:41.601991
8,window_60,full,60,0.5,0.7,,,0.342,0.337,success,2025-12-27T12:27:38.425433
9,window_80,full,80,0.5,0.7,,,0.3646,0.3616,success,2025-12-27T12:28:19.521337
10,window_100,full,100,0.5,0.7,,,0.3898,0.3879,success,2025-12-27T12:28:53.140491
11,overlap_0.0,full,40,0.0,0.7,,,0.297,0.2904,success,2025-12-27T12:29:35.330418
12,overlap_0.25,full,40,0.25,0.7,,,0.3035,0.2978,success,2025-12-27T12:30:30.242924
13,overlap_0.5,full,40,0.5,0.7,,,0.306,0.3005,success,2025-12-27T12:30:32.029286
14,overlap_0.75,full,40,0.75,0.7,,,0.3183,0.3122,success,2025-12-27T12:33:05.205036
15,overlap_0.9,full,40,0.9,0.7,,,0.3256,0.3198,success,2025-12-27T12:41:58.777611
16,trainratio_0.5,full,40,0.5,0.5,,,0.3047,0.2983,success,2025-12-27T12:42:02.058426
17,trainratio_0.6,full,40,0.5,0.6,,,0.3042,0.2982,success,2025-12-27T12:42:03.550647
18,trainratio_0.7,full,40,0.5,0.7,,,0.306,0.3005,success,2025-12-27T12:42:05.101059
19,trainratio_0.8,full,40,0.5,0.8,,,0.3065,0.3011,success,2025-12-27T12:42:06.762115
20,trainratio_0.9,full,40,0.5,0.9,,,0.3039,0.2997,success,2025-12-27T12:42:08.382678
21,pca_0.8,full,40,0.5,0.7,0.8,,0.228,0.2201,success,2025-12-27T12:42:09.708145
22,pca_0.9,full,40,0.5,0.7,0.9,,0.2422,0.2364,success,2025-12-27T12:42:10.978513
23,pca_0.95,full,40,0.5,0.7,0.95,,0.2585,0.2519,success,2025-12-27T12:42:12.275386
24,pca_0.99,full,40,0.5,0.7,0.99,,0.2888,0.2819,success,2025-12-27T12:42:13.713118
25,selectk_50,full,40,0.5,0.7,,50,0.2255,0.2109,success,2025-12-27T12:42:15.064567
26,selectk_75,full,40,0.5,0.7,,75,0.2485,0.2375,success,2025-12-27T12:42:16.522250
27,selectk_100,full,40,0.5,0.7,,100,0.2692,0.261,success,2025-12-27T12:42:17.898391
28,selectk_125,full,40,0.5,0.7,,125,0.2815,0.2729,success,2025-12-27T12:42:19.301964
29,selectk_150,full,40,0.5,0.7,,150,0.2895,0.282,success,2025-12-27T12:42:20.833065
30,selectk_200,full,40,0.5,0.7,,200,0.2972,0.2904,success,2025-12-27T12:42:22.536574
31,selectk_250,full,40,0.5,0.7,,250,0.302,0.296,success,2025-12-27T12:42:24.408717
32,combo_ws60_ov0.75,full,60,0.75,0.7,,,0.3554,0.3505,success,2025-12-27T12:44:10.153111
33,combo_ws60_ov0.9,full,60,0.9,0.7,,,0.3648,0.3612,success,2025-12-27T12:49:16.121994
34,combo_ws80_ov0.75,full,80,0.75,0.7,,,0.3814,0.3783,success,2025-12-27T12:50:35.374221
35,combo_ws80_ov0.9,full,80,0.9,0.7,,,0.3958,0.3937,success,2025-12-27T12:54:11.800970
36,combo_ws100_ov0.75,full,100,0.75,0.7,,,0.4048,0.4023,success,2025-12-27T12:55:13.785666
37,combo_ws100_ov0.9,full,100,0.9,0.7,,,0.4254,0.4239,success,2025-12-27T12:57:58.750950
38,combo_ws60_k100,full,60,0.75,0.7,,100,0.3002,0.2925,success,2025-12-27T12:58:01.292985
39,combo_ws60_k150,full,60,0.75,0.7,,150,0.3299,0.3233,success,2025-12-27T12:58:02.862319
40,combo_ws80_k100,full,80,0.75,0.7,,100,0.3208,0.3142,success,2025-12-27T12:58:04.274952
41,combo_ws80_k150,full,80,0.75,0.7,,150,0.3501,0.3449,success,2025-12-27T12:58:05.684060
42,extended_ws40,extended,40,0.75,0.7,,,0.3038,0.2967,success,2025-12-27T12:59:49.874775
43,extended_ws60,extended,60,0.75,0.7,,,0.3369,0.3307,success,2025-12-27T13:00:59.733954
44,extended_ws80,extended,80,0.75,0.7,,,0.3603,0.3556,success,2025-12-27T13:01:52.666188
45,highov_basic,basic,50,0.9,0.8,,,0.314,0.308,success,2025-12-27T13:05:42.961026
46,highov_extended,extended,50,0.9,0.8,,,0.3268,0.3209,success,2025-12-27T13:10:06.923943
47,highov_full,full,50,0.9,0.8,,,0.3464,0.3417,success,2025-12-27T13:16:30.691395
